"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"report_id","Unique identifier for the scan that returned data to Ookla; may be duplicated in cases of more than 1 registered cell_id","number","2020-06-25","12"
"trigger_name","Indicator for which activity triggered the scan: timer: scan triggered by timer (approximately every 15 minutes)motion: scan triggered by motion from device sensors (deprecated)location update intent: scan triggered by another application requesting a locationlocation update callback: scan triggered by another application receiving a location","text","2020-06-25","100"
"result_date","Date and time when scan was taken according to the device's time and date.","datetime","2020-06-25","19"
"received_date","Date and time that Ookla received the test result from the device.","datetime","2020-06-25","19"
"received_date_local","Received date converted to the local timezone of the place record","datetime","2020-06-25","19"
"time_zone_name","Name of the local time zone where the scan was taken","text","2020-06-25","100"
"device_id","Each individual device is assigned a unique ID, which is tied to all the tests taken on the device.","number","2020-06-25","11"
"device_model","Common name (or marketed name) of the device; based on Ookla-maintained lookup tables","text","2020-06-25","255"
"device_manufacturer","Common name of the device manufacturer","text","2020-06-25","255"
"device_model_raw","Raw (or Android API-returned) model of the device","text","2020-06-25","255"
"device_manufacturer_raw","Raw (or Android API-returned) manufacturer of the device","text","2020-06-25","255"
"device_brand_raw","Raw (or Android API-returned) brand of the device","text","2020-06-25","255"
"os_version","Version of the operating system used at the time of the scan","text","2020-06-25","20"
"app_version","The version of the Android Speedtest app used","text","2020-06-25","11"
"connection_type","The data connection type: 0 Unknown 1 Cell 2 Wifi 3 Gprs 4 Edge 5 Umts 6 Cdma 7 Evdo0 8 EvdoA 9 OnexRTT 10 Hsdpa 11 Hspa 12 Iden 13 Ehrpd 14 EvdoB 15 Lte 16 Hsupa 17 Hspap 18 Gsm 19 TdScdma 20 Iwlan 21 LteCa 22 Ethernet 23 Bluetooth 24 NR","number","2020-06-25","4"
"is_airplane_mode","Indicates whether the device was in airplane mode when data was reported.","text","2020-06-25","5"
"is_network_roaming","Indicates whether the device is roaming or not.","boolean","2020-06-25","5"
"is_international_roaming","Indicates whether the device is international roaming or not.","boolean","2020-06-25","5"
"number_registered_networks","A count of the number of registered cell sites the device is connected to","number","2020-06-25","2"
"number_unregistered_networks","A count of the number of un-registered cell sites the device is connected to","number","2020-06-25","2"
"sim_operator_name","The name of the SIM card provider. In the case of MVNOs, this will be the name of the 'mother carrier' which owns the PLMN network","text","2020-06-25","255"
"raw_sim_operator_name","The raw name of the SIM card provider. This will sometimes show the name of the MNVO rather than the mother carrier","text","2020-06-25","255"
"sim_operator_mcc_code","The mobile country code of the SIM card operator","number","2020-06-25","3"
"sim_operator_mnc_code","The mobile network code of the SIM card operator","number","2020-06-25","3"
"network_operator_name","The name of the operator that owns the network that the device is connected to","text","2020-06-25","255"
"network_operator_mcc_code","The mobile country code of the network that the device is connected to","number","2020-06-25","3"
"network_operator_mnc_code","The mobile network code of the network that the device is connected to","number","2020-06-25","3"
"client_latitude","Latitude of chosen best location. Ookla chooses the best location based the reported location age and accuracy.","number","2020-06-25","10"
"client_longitude","Longitude of the chosen best location. Ookla chooses the best location based the reported location age and accuracy.","number","2020-06-25","10"
"altitude","Altitude of the chosen best location. Ookla chooses the best location based the reported location age and accuracy.","number","2020-06-25","6"
